FECHA,TMAX,TMIN,NOMBRE
2025-08-10,21.9,0.7,LABOULAYE AERO
2025-08-10,17.5,3,LAS FLORES
2025-08-10,22.4,4.2,LAS LOMITAS
2025-08-10,16.2,-0.8,MALARGUE AERO
2025-08-10,11.5,-1.4,MAQUINCHAO
2025-08-10,15.7,-1.8,MAR DEL PLATA AERO
2025-08-10,20.5,-0.6,MARCOS JUAREZ AERO
2025-08-10,,1.5,MARIANO MORENO AERO
2025-08-10,21.6,5.4,MENDOZA AERO
2025-08-10,,6,MENDOZA OBSERVATORIO
2025-08-10,18.2,3.8,MERCEDES AERO (CTES)
2025-08-10,,2.5,MERLO AERO
2025-08-10,18.8,2.8,METAN
2025-08-10,18.6,2.8,MONTE CASEROS AERO
2025-08-10,17.8,1.8,MORON AERO
2025-08-10,15.8,3.9,NEUQUEN AERO
2025-08-10,19.3,3.2,NUEVE DE JULIO
2025-08-10,,,OBERA
2025-08-10,16.9,-0.3,OLAVARRIA AERO
2025-08-10,23.5,4.5,ORAN AERO
2025-08-10,18.6,2.1,PARANA AERO
2025-08-10,13.9,3.4,PASO DE INDIOS
2025-08-10,18.5,2.8,PASO DE LOS LIBRES AERO
2025-08-10,19.9,3.2,PEHUAJO AERO
2025-08-10,,-3.4,PERITO MORENO AERO
2025-08-10,17.3,1.8,PIGUE AERO
2025-08-10,22.3,2.5,PILAR OBSERVATORIO
2025-08-10,18.6,4.6,POSADAS AERO
2025-08-10,19.9,1,PRESIDENCIA ROQUE SAENZ PEÑA AERO
2025-08-10,9,1.8,PUERTO DESEADO AERO
2025-08-10,17.8,4.6,PUERTO MADRYN AERO
2025-08-10,17,2,PUNTA INDIO B.A.
2025-08-10,18.5,2.5,RAFAELA AERO
2025-08-10,19.6,3.9,RECONQUISTA AERO
2025-08-10,19.8,1.8,RESISTENCIA AERO
2025-08-10,20,3.6,RIO CUARTO AERO
2025-08-10,8.4,-2,RIO GALLEGOS AERO
2025-08-10,7.8,-0.9,RIO GRANDE B.A.
2025-08-10,22,5.8,RIVADAVIA
2025-08-10,18.6,2.2,ROSARIO AERO
2025-08-10,20.2,-0.2,SALTA AERO
2025-08-10,20.5,2.9,SAN ANTONIO OESTE AERO
2025-08-10,17.7,1,SAN FERNANDO AERO
2025-08-10,22,1.5,SAN JUAN AERO
2025-08-10,10.2,-1.9,SAN JULIAN AERO
2025-08-10,22.1,5.6,SAN LUIS AERO
2025-08-10,22,4.5,SAN MARTIN (MZA)
2025-08-10,18.6,5.2,SAN RAFAEL AERO
2025-08-10,8.4,-1.4,SANTA CRUZ AERO
2025-08-10,22.7,1.5,SANTA ROSA AERO
2025-08-10,21.5,-1.3,SANTA ROSA DE CONLARA AERO
2025-08-10,23.5,1.4,SANTIAGO DEL ESTERO AERO
2025-08-10,19.2,4.8,SAUCE VIEJO AERO
2025-08-10,19.5,2.1,SUNCHALES AERO
2025-08-10,16.4,-3.5,TANDIL AERO
2025-08-10,23.5,8,TARTAGAL AERO
2025-08-10,23.5,2.4,TERMAS DE RIO HONDO AERO
2025-08-10,23.5,1,TINOGASTA
2025-08-10,16.2,3.3,TRELEW AERO
2025-08-10,21.5,4,TRENQUE LAUQUEN
2025-08-10,16.7,1.6,TRES ARROYOS
2025-08-10,23.1,4.9,TUCUMAN AERO
2025-08-10,5.1,1.2,USHUAIA AERO
2025-08-10,19.5,-2,USPALLATA
2025-08-10,19.2,0.8,VENADO TUERTO AERO
2025-08-10,,,VICTORICA
2025-08-10,19.6,4.6,VIEDMA AERO
2025-08-10,23,-0.4,VILLA DE MARIA DEL RIO SECO
2025-08-10,21.7,5.8,VILLA DOLORES AERO
2025-08-10,15.8,-0.5,VILLA GESELL AERO
2025-08-10,23,-1.2,VILLA REYNOLDS AERO
2031-12-29,12.5,6.6,AEROPARQUE AERO
2031-12-29,11.6,-2.7,AZUL AERO
2031-12-29,18.7,-1.8,BAHIA BLANCA AERO
2031-12-29,13.1,-2.4,BARILOCHE AERO
2031-12-29,-12.2,-17.1,BASE BELGRANO II
2031-12-29,1,-2.6,BASE CARLINI (EX JUBANY)
2031-12-29,1,-11.2,BASE ESPERANZA
2031-12-29,-1.4,-18.3,BASE MARAMBIO
2031-12-29,1.2,-4.3,BASE ORCADAS
2031-12-29,-1.2,-9.3,BASE SAN MARTIN
2031-12-29,12.6,-2.6,BENITO JUAREZ
2031-12-29,8.6,2.5,BERNARDO DE IRIGOYEN AERO
2031-12-29,15.1,-2,BOLIVAR AERO
2031-12-29,17.4,3.8,BUENOS AIRES OBSERVATORIO
2031-12-29,16.2,1.3,CAMPO DE MAYO AERO
2031-12-29,22,9.9,CATAMARCA AERO
2031-12-29,19.9,-0.8,CERES AERO
2031-12-29,21,3.5,CHAMICAL AERO
2031-12-29,15.5,-4.6,CHAPELCO AERO
2031-12-29,19.5,6.6,CHEPES
2031-12-29,,,CHILECITO AERO
2031-12-29,19.1,2.3,COMODORO RIVADAVIA AERO
2031-12-29,15.8,-1,CONCORDIA AERO
2031-12-29,20.4,-2.7,CORDOBA AERO
2031-12-29,20.3,1.5,CORDOBA OBSERVATORIO
2031-12-29,16.1,-3.9,CORONEL SUAREZ AERO
2031-12-29,15.9,4.2,CORRIENTES AERO
